dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
continuous_10_2,0.1$pm$0.16,0.16$pm$0.14,0.03$pm$0.1,0.11$pm$0.17,0.02$pm$0.04,0.08$pm$0.1,0.02$pm$0.04,0.0$pm$0.0,0.25$pm$0.09,0.21$pm$0.11
continuous_10_3,0.23$pm$0.26,0.32$pm$0.22,0.07$pm$0.16,0.15$pm$0.23,0.09$pm$0.17,0.28$pm$0.26,0.16$pm$0.05,0.06$pm$0.05,0.51$pm$0.12,0.4$pm$0.1
continuous_10_4,0.46$pm$0.23,0.21$pm$0.19,0.03$pm$0.09,0.46$pm$0.3,0.03$pm$0.07,0.45$pm$0.29,0.3$pm$0.04,0.06$pm$0.05,0.4$pm$0.12,0.42$pm$0.09
continuous_20_2,0.01$pm$0.05,0.04$pm$0.06,0.0$pm$0.0,0.0$pm$0.01,0.0$pm$0.0,0.02$pm$0.04,0.02$pm$0.02,0.0$pm$0.01,0.31$pm$0.1,0.27$pm$0.1
continuous_20_3,0.07$pm$0.12,0.06$pm$0.12,0.02$pm$0.04,0.03$pm$0.06,0.02$pm$0.03,0.02$pm$0.04,0.15$pm$0.06,0.02$pm$0.02,0.45$pm$0.07,0.39$pm$0.09
continuous_20_4,0.09$pm$0.17,0.09$pm$0.16,0.0$pm$0.01,0.04$pm$0.11,0.0$pm$0.01,0.06$pm$0.16,0.28$pm$0.07,0.02$pm$0.01,0.46$pm$0.07,0.42$pm$0.03
continuous_30_2,0.01$pm$0.07,0.05$pm$0.09,0.0$pm$0.0,0.01$pm$0.04,0.0$pm$0.0,0.02$pm$0.04,0.02$pm$0.02,0.01$pm$0.01,0.31$pm$0.07,0.43$pm$0.08
continuous_30_3,0.07$pm$0.17,0.07$pm$0.06,0.02$pm$0.03,0.03$pm$0.09,0.01$pm$0.02,0.03$pm$0.08,0.09$pm$0.03,0.02$pm$0.03,0.41$pm$0.08,nan$pm$nan
continuous_30_4,0.03$pm$0.11,0.04$pm$0.09,0.01$pm$0.05,0.04$pm$0.11,0.01$pm$0.06,0.03$pm$0.12,0.21$pm$0.04,0.03$pm$0.02,0.51$pm$0.07,0.51$pm$0.13
continuous_40_2,0.0$pm$0.01,0.0$pm$0.01,0.0$pm$0.0,0.0$pm$0.01,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.01,0.01$pm$0.01,nan$pm$nan,nan$pm$nan
continuous_40_3,0.02$pm$0.04,0.06$pm$0.08,0.0$pm$0.02,0.01$pm$0.01,0.0$pm$0.02,0.0$pm$0.01,0.06$pm$0.03,0.01$pm$0.01,nan$pm$nan,nan$pm$nan
continuous_40_4,0.03$pm$0.07,0.03$pm$0.06,0.01$pm$0.06,0.03$pm$0.12,0.01$pm$0.03,0.01$pm$0.01,0.18$pm$0.03,0.02$pm$0.02,nan$pm$nan,nan$pm$nan
continuous_5_2,0.14$pm$0.16,0.31$pm$0.12,0.06$pm$0.12,0.11$pm$0.14,0.06$pm$0.11,0.29$pm$0.19,0.02$pm$0.05,0.04$pm$0.06,0.23$pm$0.13,0.21$pm$0.13
continuous_5_3,0.24$pm$0.2,0.25$pm$0.16,0.21$pm$0.19,0.37$pm$0.2,0.26$pm$0.26,0.4$pm$0.14,0.13$pm$0.09,0.09$pm$0.09,0.35$pm$0.2,0.34$pm$0.1
continuous_5_4,0.46$pm$0.14,0.4$pm$0.17,0.53$pm$0.17,0.57$pm$0.12,0.52$pm$0.21,0.58$pm$0.17,0.19$pm$0.07,0.15$pm$0.07,0.34$pm$0.17,0.43$pm$0.15
discrete_10_2,0.57$pm$0.19,0.64$pm$0.14,0.24$pm$0.12,0.24$pm$0.13,0.23$pm$0.13,0.22$pm$0.14,0.26$pm$0.14,0.23$pm$0.2,,
discrete_10_3,0.85$pm$0.13,0.54$pm$0.22,0.45$pm$0.09,0.46$pm$0.1,0.43$pm$0.11,0.43$pm$0.11,0.46$pm$0.11,0.38$pm$0.17,,
discrete_10_4,0.83$pm$0.16,0.7$pm$0.22,0.59$pm$0.14,0.59$pm$0.16,0.59$pm$0.14,0.58$pm$0.15,0.58$pm$0.17,0.59$pm$0.15,,
discrete_20_2,0.36$pm$0.13,0.41$pm$0.16,0.28$pm$0.11,0.29$pm$0.12,0.25$pm$0.11,0.24$pm$0.11,0.3$pm$0.07,0.21$pm$0.15,,
discrete_20_3,0.73$pm$0.15,0.65$pm$0.1,0.55$pm$0.06,0.55$pm$0.06,0.54$pm$0.05,0.54$pm$0.05,0.5$pm$0.09,0.51$pm$0.11,,
discrete_20_4,0.82$pm$0.09,0.73$pm$0.06,0.65$pm$0.08,0.64$pm$0.08,0.6$pm$0.07,0.6$pm$0.07,0.67$pm$0.05,0.68$pm$0.08,,
discrete_30_2,0.49$pm$0.17,0.53$pm$0.12,0.31$pm$0.05,0.31$pm$0.05,0.31$pm$0.05,0.31$pm$0.05,0.31$pm$0.04,0.37$pm$0.1,,
discrete_30_3,0.69$pm$0.1,0.59$pm$0.16,0.53$pm$0.1,0.52$pm$0.12,0.52$pm$0.1,0.52$pm$0.11,0.52$pm$0.07,0.51$pm$0.12,,
discrete_30_4,0.73$pm$0.06,0.73$pm$0.07,0.65$pm$0.07,0.65$pm$0.07,0.66$pm$0.05,0.67$pm$0.05,0.68$pm$0.04,0.66$pm$0.09,,
discrete_40_2,0.61$pm$0.14,0.37$pm$0.12,0.31$pm$0.06,0.31$pm$0.06,0.31$pm$0.06,0.31$pm$0.05,0.31$pm$0.04,0.35$pm$0.1,,
discrete_40_3,0.75$pm$0.08,0.51$pm$0.15,0.54$pm$0.1,0.54$pm$0.1,0.56$pm$0.1,0.56$pm$0.1,0.52$pm$0.07,0.49$pm$0.09,,
discrete_40_4,0.85$pm$0.08,0.68$pm$0.08,0.65$pm$0.06,0.65$pm$0.06,0.66$pm$0.06,0.66$pm$0.06,0.67$pm$0.04,0.71$pm$0.06,,
discrete_5_2,0.65$pm$0.34,0.18$pm$0.25,0.11$pm$0.2,0.11$pm$0.2,0.09$pm$0.19,0.1$pm$0.19,0.1$pm$0.19,0.07$pm$0.14,,
discrete_5_3,0.84$pm$0.18,0.36$pm$0.27,0.24$pm$0.18,0.25$pm$0.19,0.27$pm$0.16,0.24$pm$0.16,0.24$pm$0.17,0.18$pm$0.18,,
discrete_5_4,0.89$pm$0.06,0.7$pm$0.16,0.36$pm$0.2,0.39$pm$0.21,0.27$pm$0.19,0.3$pm$0.2,0.22$pm$0.21,0.17$pm$0.2,,
mixed_10_2,0.57$pm$0.17,0.54$pm$0.11,0.23$pm$0.18,0.23$pm$0.19,0.24$pm$0.16,0.28$pm$0.17,0.42$pm$0.11,0.18$pm$0.16,,
mixed_10_3,0.66$pm$0.14,0.51$pm$0.16,0.32$pm$0.22,0.35$pm$0.22,0.32$pm$0.17,0.33$pm$0.16,0.43$pm$0.12,0.15$pm$0.12,,
mixed_10_4,0.65$pm$0.1,0.57$pm$0.09,0.39$pm$0.13,0.39$pm$0.13,0.38$pm$0.12,0.38$pm$0.12,0.42$pm$0.07,0.22$pm$0.15,,
mixed_20_2,0.56$pm$0.11,0.43$pm$0.11,0.17$pm$0.15,0.17$pm$0.14,0.17$pm$0.13,0.16$pm$0.13,0.26$pm$0.09,0.08$pm$0.08,,
mixed_20_3,0.61$pm$0.06,0.61$pm$0.09,0.25$pm$0.21,0.28$pm$0.19,0.19$pm$0.14,0.27$pm$0.21,0.39$pm$0.09,0.1$pm$0.12,,
mixed_20_4,0.54$pm$0.07,0.46$pm$0.15,0.31$pm$0.1,0.32$pm$0.09,0.31$pm$0.1,0.31$pm$0.09,0.45$pm$0.08,0.14$pm$0.1,,
mixed_30_2,0.54$pm$0.11,0.56$pm$0.07,0.22$pm$0.16,0.24$pm$0.17,0.25$pm$0.14,0.24$pm$0.14,0.28$pm$0.13,0.11$pm$0.17,,
mixed_30_3,0.63$pm$0.08,0.42$pm$0.12,0.27$pm$0.13,0.27$pm$0.13,0.26$pm$0.13,0.24$pm$0.13,0.32$pm$0.06,0.1$pm$0.12,,
mixed_30_4,0.62$pm$0.07,0.51$pm$0.06,0.32$pm$0.13,0.33$pm$0.13,0.33$pm$0.13,0.34$pm$0.13,0.4$pm$0.06,0.1$pm$0.08,,
mixed_40_2,0.56$pm$0.07,0.51$pm$0.13,0.26$pm$0.15,0.27$pm$0.14,0.26$pm$0.14,0.25$pm$0.14,0.33$pm$0.1,0.05$pm$0.05,,
mixed_40_3,0.6$pm$0.09,0.55$pm$0.03,0.29$pm$0.15,0.29$pm$0.15,0.31$pm$0.11,0.31$pm$0.11,0.35$pm$0.06,0.12$pm$0.13,,
mixed_40_4,0.64$pm$0.07,0.51$pm$0.15,0.39$pm$0.1,0.39$pm$0.09,0.41$pm$0.07,0.41$pm$0.07,0.46$pm$0.06,0.25$pm$0.15,,
mixed_5_2,0.76$pm$0.23,0.4$pm$0.28,0.3$pm$0.16,0.32$pm$0.17,0.25$pm$0.19,0.33$pm$0.21,0.38$pm$0.18,0.27$pm$0.15,,
mixed_5_3,0.75$pm$0.08,0.59$pm$0.12,0.45$pm$0.11,0.47$pm$0.12,0.44$pm$0.12,0.45$pm$0.17,0.49$pm$0.11,0.33$pm$0.21,,
mixed_5_4,0.72$pm$0.1,0.56$pm$0.17,0.5$pm$0.1,0.49$pm$0.11,0.45$pm$0.15,0.51$pm$0.09,0.5$pm$0.1,0.42$pm$0.11,,
mixed_9_adni,0.15$pm$0.04,0.11$pm$0.02,0.05$pm$0.02,0.05$pm$0.02,0.05$pm$0.01,0.05$pm$0.01,0.12$pm$0.06,0.04$pm$0.0,,
